bin_index,bin_lower,bin_upper,bin_center,sample_count,accuracy,mean_confidence,calibration_gap,model_name,crop,subset_name,is_calibrated
5,0.4,0.5,0.45,59,0.508474588394165,0.4570629894733429,0.051411598920822144,Tomato,Tomato,internal_test,False
6,0.5,0.6000000000000001,0.55,109,0.5779816508293152,0.5495008230209351,0.028480827808380127,Tomato,Tomato,internal_test,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,119,0.6134454011917114,0.6509214043617249,0.03747600317001343,Tomato,Tomato,internal_test,False
8,0.7000000000000001,0.8,0.75,134,0.8059701323509216,0.7548233866691589,0.051146745681762695,Tomato,Tomato,internal_test,False
9,0.8,0.9,0.8500000000000001,207,0.8695651888847351,0.8591161370277405,0.010449051856994629,Tomato,Tomato,internal_test,False
10,0.9,1.0,0.95,1526,0.9855832457542419,0.9835622906684875,0.0020209550857543945,Tomato,Tomato,internal_test,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Tomato,Tomato,internal_test,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Tomato,Tomato,internal_test,True
3,0.2,0.30000000000000004,0.25,5,0.0,0.2830646336078644,0.2830646336078644,Tomato,Tomato,internal_test,True
4,0.30000000000000004,0.4,0.35000000000000003,21,0.4285714328289032,0.35614311695098877,0.07242831587791443,Tomato,Tomato,internal_test,True
5,0.4,0.5,0.45,48,0.5,0.46404361724853516,0.035956382751464844,Tomato,Tomato,internal_test,True
6,0.5,0.6000000000000001,0.55,102,0.5490196347236633,0.5505905747413635,0.0015709400177001953,Tomato,Tomato,internal_test,True
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,110,0.6454545259475708,0.6530374884605408,0.007582962512969971,Tomato,Tomato,internal_test,True
8,0.7000000000000001,0.8,0.75,120,0.7333333492279053,0.7532156705856323,0.01988232135772705,Tomato,Tomato,internal_test,True
9,0.8,0.9,0.8500000000000001,186,0.8548387289047241,0.8548682332038879,2.950429916381836e-05,Tomato,Tomato,internal_test,True
10,0.9,1.0,0.95,1588,0.982367753982544,0.9845016598701477,0.0021339058876037598,Tomato,Tomato,internal_test,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Tomato,Tomato,validation,False
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Tomato,Tomato,validation,False
3,0.2,0.30000000000000004,0.25,6,0.5,0.2821045219898224,0.2178954780101776,Tomato,Tomato,validation,False
4,0.30000000000000004,0.4,0.35000000000000003,27,0.37037035822868347,0.36066576838493347,0.00970458984375,Tomato,Tomato,validation,False
5,0.4,0.5,0.45,74,0.4324324429035187,0.459574818611145,0.027142375707626343,Tomato,Tomato,validation,False
6,0.5,0.6000000000000001,0.55,90,0.644444465637207,0.5520447492599487,0.0923997163772583,Tomato,Tomato,validation,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,116,0.7155172228813171,0.6481703519821167,0.06734687089920044,Tomato,Tomato,validation,False
8,0.7000000000000001,0.8,0.75,120,0.8083333373069763,0.7506312727928162,0.057702064514160156,Tomato,Tomato,validation,False
9,0.8,0.9,0.8500000000000001,218,0.8899082541465759,0.8560851216316223,0.03382313251495361,Tomato,Tomato,validation,False
10,0.9,1.0,0.95,1528,0.9869109988212585,0.984102725982666,0.0028082728385925293,Tomato,Tomato,validation,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Tomato,Tomato,validation,True
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Tomato,Tomato,validation,True
3,0.2,0.30000000000000004,0.25,4,0.25,0.28354936838150024,0.033549368381500244,Tomato,Tomato,validation,True
4,0.30000000000000004,0.4,0.35000000000000003,24,0.4166666567325592,0.3589158058166504,0.057750850915908813,Tomato,Tomato,validation,True
5,0.4,0.5,0.45,64,0.390625,0.45987826585769653,0.06925326585769653,Tomato,Tomato,validation,True
6,0.5,0.6000000000000001,0.55,86,0.6162790656089783,0.5484715700149536,0.06780749559402466,Tomato,Tomato,validation,True
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,111,0.7477477192878723,0.6497066617012024,0.09804105758666992,Tomato,Tomato,validation,True
8,0.7000000000000001,0.8,0.75,117,0.752136766910553,0.7530058026313782,0.0008690357208251953,Tomato,Tomato,validation,True
9,0.8,0.9,0.8500000000000001,190,0.878947377204895,0.8591699004173279,0.01977747678756714,Tomato,Tomato,validation,True
10,0.9,1.0,0.95,1583,0.9842072129249573,0.9851651191711426,0.0009579062461853027,Tomato,Tomato,validation,True
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Tomato,Tomato,internal_test,False
2,0.1,0.2,0.15000000000000002,0,0.0,0.0,0.0,Tomato,Tomato,internal_test,False
3,0.2,0.30000000000000004,0.25,7,0.1428571492433548,0.2806454300880432,0.13778828084468842,Tomato,Tomato,internal_test,False
4,0.30000000000000004,0.4,0.35000000000000003,19,0.42105263471603394,0.35256680846214294,0.06848582625389099,Tomato,Tomato,internal_test,False
5,0.4,0.5,0.45,59,0.508474588394165,0.4570629894733429,0.051411598920822144,Tomato,Tomato,internal_test,False
6,0.5,0.6000000000000001,0.55,109,0.5779816508293152,0.5495008230209351,0.028480827808380127,Tomato,Tomato,internal_test,False
7,0.6000000000000001,0.7000000000000001,0.6500000000000001,119,0.6134454011917114,0.6509214043617249,0.03747600317001343,Tomato,Tomato,internal_test,False
8,0.7000000000000001,0.8,0.75,134,0.8059701323509216,0.7548233866691589,0.051146745681762695,Tomato,Tomato,internal_test,False
9,0.8,0.9,0.8500000000000001,207,0.8695651888847351,0.8591161370277405,0.010449051856994629,Tomato,Tomato,internal_test,False
10,0.9,1.0,0.95,1526,0.9855832457542419,0.9835622906684875,0.0020209550857543945,Tomato,Tomato,internal_test,False
1,0.0,0.1,0.05,0,0.0,0.0,0.0,Tomato,Tomato,internal_test,True
